unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
watershed,A01BEA11,Watershed A01BEA11,Indus (Up to border) Basin,Beas,541.67244325,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,3.625,3.625,2.0156070838798934,7.306575679064614,,,0,,0.0,9.654461860656738,MATCHED,-6.029461860656738,6.029461860656738,-62.45259391647323,2026-07-07 04:58:18
watershed,A01BEA12,Watershed A01BEA12,Indus (Up to border) Basin,Beas,404.24676634,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BEA13,Watershed A01BEA13,Indus (Up to border) Basin,Beas,590.355931,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,1.0,1.0,3.0,3.0,,,0,,0.0,6.83530330657959,MATCHED,-5.83530330657959,5.83530330657959,-85.37007130265295,2026-07-07 04:58:18
watershed,A01BEA14,Watershed A01BEA14,Indus (Up to border) Basin,Beas,659.14079987,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,1.90625,1.90625,3.0,5.71875,,,0,,0.0,13.666001319885254,MATCHED,-11.759751319885254,11.759751319885254,-86.05115018373198,2026-07-07 04:58:18
watershed,A01BEA15,Watershed A01BEA15,Indus (Up to border) Basin,Beas,526.12618996,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BEA16,Watershed A01BEA16,Indus (Up to border) Basin,Beas,582.43765061,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.125,0.125,3.0,0.375,,,0,,0.0,20.89924049377441,MATCHED,-20.77424049377441,20.77424049377441,-99.401892140352,2026-07-07 04:58:18
watershed,A01BEA17,Watershed A01BEA17,Indus (Up to border) Basin,Beas,420.23914665,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BEA18,Watershed A01BEA18,Indus (Up to border) Basin,Beas,390.59715869,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,4.5625,4.5625,1.360898591045323,6.209099821644286,,,0,,0.0,4.268523693084717,MATCHED,0.2939763069152832,0.2939763069152832,6.887072160136857,2026-07-07 04:58:18
watershed,A01BEA19,Watershed A01BEA19,Indus (Up to border) Basin,Beas,680.10694914,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.3125,0.3125,3.0,0.9375,,,0,,0.0,9.11309051513672,MATCHED,-8.80059051513672,8.80059051513672,-96.57086693607462,2026-07-07 04:58:18
watershed,A01BEA20,Watershed A01BEA20,Indus (Up to border) Basin,Beas,850.78470787,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.90625,0.90625,3.0,2.71875,,,0,,0.0,21.395357131958008,MATCHED,-20.489107131958008,20.489107131958008,-95.76426794649599,2026-07-07 04:58:18
watershed,A01BEA21,Watershed A01BEA21,Indus (Up to border) Basin,Beas,485.80524927,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BEA22,Watershed A01BEA22,Indus (Up to border) Basin,Beas,642.65531905,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,5.6875,5.6875,1.0755335623683582,6.117097135970037,,,0,,0.0,27.515634536743164,MATCHED,-21.828134536743164,21.828134536743164,-79.32993334242333,2026-07-07 04:58:18
watershed,A01BEA23,Watershed A01BEA23,Indus (Up to border) Basin,Beas,999.14399955,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.90625,0.90625,3.0,2.71875,,,0,,0.0,11.663917779922484,MATCHED,-10.757667779922484,10.757667779922484,-92.23031217212487,2026-07-07 04:58:18
watershed,A01BEA24,Watershed A01BEA24,Indus (Up to border) Basin,Beas,903.04758456,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.03125,0.03125,1.0,0.03125,,,0,,0.0,0.741815447807312,MATCHED,-0.710565447807312,0.710565447807312,-95.78736192507584,2026-07-07 04:58:18
watershed,A01BEA25,Watershed A01BEA25,Indus (Up to border) Basin,Beas,388.74596901,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,2.1385421752929688,MATCHED,-2.1385421752929688,2.1385421752929688,-100.0,2026-07-07 04:58:18
watershed,A01BEA26,Watershed A01BEA26,Indus (Up to border) Basin,Beas,548.94656236,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BEA27,Watershed A01BEA27,Indus (Up to border) Basin,Beas,643.27145021,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0625,0.0625,1.0,0.0625,,,0,,0.0,0.1242485791444778,MATCHED,-0.0617485791444778,0.0617485791444778,-49.69761390403972,2026-07-07 04:58:18
watershed,A01BEA28,Watershed A01BEA28,Indus (Up to border) Basin,Beas,702.36918848,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0625,0.0625,1.0,0.0625,,,0,,0.0,0.0,MATCHED,0.0625,0.0625,,2026-07-07 04:58:18
