parent_type,parent_id,parent_name,parent_key,parent_state,parent_basin,parent_sub_basin,child_type,child_id,child_name,child_key,child_state,child_basin,child_sub_basin,intersection_area_sqkm,parent_overlap_pct,child_overlap_pct
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Manipur||Jiribam,Jiribam,district||Manipur||Jiribam,Manipur,,,295.1514,1.03,100.0
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Manipur||Kangpokpi,Kangpokpi,district||Manipur||Kangpokpi,Manipur,,,535.9569,1.87,31.23
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Assam||Karimganj,Karimganj,district||Assam||Karimganj,Assam,,,1804.2347,6.28,99.49
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Nagaland||Kohima,Kohima,district||Nagaland||Kohima,Nagaland,,,74.6108,0.26,5.67
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Mizoram||Kolasib,Kolasib,district||Mizoram||Kolasib,Mizoram,,,1487.3728,5.18,100.0
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Mizoram||Lunglei,Lunglei,district||Mizoram||Lunglei,Mizoram,,,615.5476,2.14,13.59
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Mizoram||Mamit,Mamit,district||Mizoram||Mamit,Mizoram,,,2262.2034,7.87,73.76
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Manipur||Nonei,Nonei,district||Manipur||Nonei,Manipur,,,1175.6352,4.09,100.0
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Tripura||North Tripura,North Tripura,district||Tripura||North Tripura,Tripura,,,649.8613,2.26,48.31
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Nagaland||Paren,Paren,district||Nagaland||Paren,Nagaland,,,739.9533,2.58,40.45
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Nagaland||Phek,Phek,district||Nagaland||Phek,Nagaland,,,4.8411,0.02,0.26
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Manipur||Pherzawl,Pherzawl,district||Manipur||Pherzawl,Manipur,,,2139.0,7.44,99.89
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Manipur||Senapati,Senapati,district||Manipur||Senapati,Manipur,,,1060.0229,3.69,60.24
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Mizoram||Serchhip,Serchhip,district||Mizoram||Serchhip,Mizoram,,,263.4787,0.92,18.16
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Manipur||Tamenglong,Tamenglong,district||Manipur||Tamenglong,Manipur,,,3016.5423,10.5,99.95
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Tripura||Unokoti,Unokoti,district||Tripura||Unokoti,Tripura,,,6.5982,0.02,0.96
subbasin,BAM,Barmer,subbasin||BAM,,Indus (Up to border) Basin,Barmer,district,Rajasthan||Barmer,Barmer,district||Rajasthan||Barmer,Rajasthan,,,6789.459,30.18,23.93
subbasin,BAM,Barmer,subbasin||BAM,,Indus (Up to border) Basin,Barmer,district,Rajasthan||Jaisalmer,Jaisalmer,district||Rajasthan||Jaisalmer,Rajasthan,,,15683.3736,69.71,40.78
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Punjab||Amritsar,Amritsar,district||Punjab||Amritsar,Punjab,,,171.8282,0.89,6.42
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Chamba,Chamba,district||Himachal Pradesh||Chamba,Himachal Pradesh,,,492.6435,2.54,7.57
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Punjab||Firozpur,Firozpur,district||Punjab||Firozpur,Punjab,,,1.1158,0.01,0.05
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Punjab||Gurdaspur,Gurdaspur,district||Punjab||Gurdaspur,Punjab,,,590.2297,3.04,22.64
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Hamirpur,Hamirpur,district||Himachal Pradesh||Hamirpur,Himachal Pradesh,,,810.9923,4.18,72.1
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Punjab||Hoshiarpur,Hoshiarpur,district||Punjab||Hoshiarpur,Punjab,,,1987.4419,10.25,58.63
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Punjab||Jalandhar,Jalandhar,district||Punjab||Jalandhar,Punjab,,,598.6132,3.09,22.72
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Kangra,Kangra,district||Himachal Pradesh||Kangra,Himachal Pradesh,,,5105.9602,26.34,88.93
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Punjab||Kapurthala,Kapurthala,district||Punjab||Kapurthala,Punjab,,,1324.0797,6.83,81.16
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Kinnaur,Kinnaur,district||Himachal Pradesh||Kinnaur,Himachal Pradesh,,,4.619,0.02,0.07
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Kullu,Kullu,district||Himachal Pradesh||Kullu,Himachal Pradesh,,,4753.3268,24.52,86.56
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Lahul & Spiti,Lahul & Spiti,district||Himachal Pradesh||Lahul & Spiti,Himachal Pradesh,,,30.9452,0.16,0.22
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Mandi,Mandi,district||Himachal Pradesh||Mandi,Himachal Pradesh,,,2714.1574,14.0,68.73
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Punjab||Pathankot,Pathankot,district||Punjab||Pathankot,Punjab,,,246.9329,1.27,26.01
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Shimla,Shimla,district||Himachal Pradesh||Shimla,Himachal Pradesh,,,2.8273,0.01,0.06
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Punjab||Tarn Taran,Tarn Taran,district||Punjab||Tarn Taran,Punjab,,,453.4707,2.34,18.77
subbasin,BEA,Beas,subbasin||BEA,,Indus (Up to border) Basin,Beas,district,Himachal Pradesh||Una,Una,district||Himachal Pradesh||Una,Himachal Pradesh,,,93.2193,0.48,6.02
subbasin,BHA,Bhadar and other west flowing rivers,subbasin||BHA,,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,district,Gujarat||Amreli,Amreli,district||Gujarat||Amreli,Gujarat,,,815.0239,4.26,11.15
subbasin,BHA,Bhadar and other west flowing rivers,subbasin||BHA,,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,district,Gujarat||Devbhumi Dwarka,Devbhumi Dwarka,district||Gujarat||Devbhumi Dwarka,Gujarat,,,2588.9937,13.52,62.36
subbasin,BHA,Bhadar and other west flowing rivers,subbasin||BHA,,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,district,Gujarat||Gir Somnath,Gir Somnath,district||Gujarat||Gir Somnath,Gujarat,,,1409.4013,7.36,53.25
subbasin,BHA,Bhadar and other west flowing rivers,subbasin||BHA,,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,district,Gujarat||Jamnagar,Jamnagar,district||Gujarat||Jamnagar,Gujarat,,,1422.0147,7.42,24.03
subbasin,BHA,Bhadar and other west flowing rivers,subbasin||BHA,,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,district,Gujarat||Junagadh,Junagadh,district||Gujarat||Junagadh,Gujarat,,,5580.3192,29.13,90.81
subbasin,BHA,Bhadar and other west flowing rivers,subbasin||BHA,,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,district,Gujarat||Porbandar,Porbandar,district||Gujarat||Porbandar,Gujarat,,,2297.3396,11.99,99.3
