state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_raw,alert_gfs_bc,alert_icon,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_mm,alert_gfs_cal,date,cycle_utc
Chhattisgarh,Jashpur,2.149999943561852,3.7283819402652245,1.7341311805285473,3.7283819402652245,0.0,NO ALERT,NO ALERT,NO ALERT,0.5513394526198406,12.0,12,2.149999943561852,NO ALERT,20260711,06
Chhattisgarh,Kanker,0.6805555457249284,4.337277670336187,3.0,2.041666637174785,0.0,NO ALERT,NO ALERT,NO ALERT,1.0405466125067848,12.0,10,0.6805555457249284,NO ALERT,20260711,06
Chhattisgarh,Kawardha,0.43750000558793545,2.442919880386493,3.0,1.3125000167638063,0.0,NO ALERT,NO ALERT,NO ALERT,1.722043042536151,12.0,10,0.43750000558793545,NO ALERT,20260711,06
Chhattisgarh,Korba,2.027777820825577,3.3406741153159643,1.6474556931271016,3.3406741153159643,0.0,NO ALERT,NO ALERT,NO ALERT,1.4125065136477204,12.0,16,2.027777820825577,NO ALERT,20260711,06
Chhattisgarh,Koriya,3.4147726576775312,3.694853365239438,1.0820203087113847,3.694853365239438,0.0,NO ALERT,NO ALERT,NO ALERT,0.7767948107704633,12.0,7,3.4147726576775312,NO ALERT,20260711,06
Chhattisgarh,Mahasamund,0.2678571483120322,3.578157983134171,3.0,0.8035714449360967,0.0,NO ALERT,NO ALERT,NO ALERT,1.2341259996891814,12.0,12,0.2678571483120322,NO ALERT,20260711,06
Chhattisgarh,Raigarh,1.113636365160346,3.683984084603647,3.0,3.340909095481038,0.0,NO ALERT,NO ALERT,NO ALERT,1.8296994821246042,12.0,17,1.113636365160346,NO ALERT,20260711,06
Chhattisgarh,Raipur,0.390625,3.540697332435887,3.0,1.171875,0.0,NO ALERT,NO ALERT,NO ALERT,1.3881135824495252,12.0,10,0.390625,NO ALERT,20260711,06
Chhattisgarh,Raj Nandgaon,0.8011363819241524,3.440559333345736,3.0,2.403409145772457,0.0,NO ALERT,NO ALERT,NO ALERT,2.4085250844596495,12.0,8,0.8011363819241524,NO ALERT,20260711,06
Chhattisgarh,Surguja,2.429687514901161,4.257611592557094,1.752328876221884,4.257611592557094,0.0,NO ALERT,NO ALERT,NO ALERT,1.2295114366635185,12.0,10,2.429687514901161,NO ALERT,20260711,06
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0.625,9.264040700499326,3.0,1.875,0.0,NO ALERT,NO ALERT,NO ALERT,1.9309391890844962,12.0,20,0.625,NO ALERT,20260711,06
Daman and Diu,Daman,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.0,NO ALERT,20260711,06
Daman and Diu,Junagadh,0.5625,3.6368206819851103,3.0,1.6875,0.0,NO ALERT,NO ALERT,NO ALERT,1.5245293474175645,12.0,18,0.5625,NO ALERT,20260711,06
Delhi,Delhi,0.14583333767950535,1.9200712068984498,3.0,0.43750001303851604,0.0,NO ALERT,NO ALERT,NO ALERT,0.7901691222555012,12.0,5,0.14583333767950535,NO ALERT,20260711,06
