unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
district,Gujarat||Amreli,Amreli,,,,Gujarat,Amreli,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,14.602272568270564,14.602272568270564,0.3,4.380681770481169,2.174132369131493,12.0,8,31.7472734535579,0.0,3.752599965103648,MATCHED,10.849672603166916,10.849672603166916,289.12414603370183,2026-07-03 23:48:44
district,Punjab||Amritsar,Amritsar,,,,Punjab,Amritsar,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,0.1250000037252903,0.1250000037252903,3.0,0.3750000111758709,1.0,12.0,0,0.1250000037252903,0.0,0.0,MATCHED,0.1250000037252903,0.1250000037252903,,2026-07-03 12:56:55
district,Punjab||Amritsar,Amritsar,,,,Punjab,Amritsar,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,0.0178571436554193,0.0178571436554193,1.0,0.0178571436554193,1.0,12.0,0,0.0178571436554193,0.0,0.0,MATCHED,0.0178571436554193,0.0178571436554193,,2026-07-03 17:42:45
district,Punjab||Amritsar,Amritsar,,,,Punjab,Amritsar,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,0.2142857136204838,0.2142857136204838,3.0,0.6428571408614516,1.0,12.0,0,0.2142857136204838,0.0,0.0,MATCHED,0.2142857136204838,0.2142857136204838,,2026-07-03 23:48:44
district,Gujarat||Anand,Anand,,,,Gujarat,Anand,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,10.325000256299973,10.325000256299973,0.3,3.097500076889992,0.4669727516345794,12.0,8,10.325000256299973,0.0,35.08301124572754,MATCHED,-24.758010989427568,24.758010989427568,-70.56980034016502,2026-07-03 12:56:55
district,Gujarat||Anand,Anand,,,,Gujarat,Anand,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,33.36249980330467,33.36249980330467,0.3,10.008749940991402,0.4669727516345794,12.0,8,15.5793783345573,0.0,35.08301124572754,MATCHED,-1.7205114424228682,1.7205114424228682,-4.904115642674187,2026-07-03 17:42:45
district,Gujarat||Anand,Anand,,,,Gujarat,Anand,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,17.5625,17.5625,0.3,5.26875,0.4669727516345794,12.0,8,8.201208950582302,0.0,35.08301124572754,MATCHED,-17.52051124572754,17.52051124572754,-49.94015799559171,2026-07-03 23:48:44
district,Andhra Pradesh||Anantapur,Anantapur,,,,Andhra Pradesh,Anantapur,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,0.0601851865649223,0.0601851865649223,1.0,0.0601851865649223,1.0,12.0,0,0.0601851865649223,0.0,0.2345740044558489,MATCHED,-0.17438881789092658,0.17438881789092658,-74.34277225026005,2026-07-03 12:56:55
district,Andhra Pradesh||Anantapur,Anantapur,,,,Andhra Pradesh,Anantapur,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,0.2361111138015985,0.2361111138015985,3.0,0.7083333414047956,1.0,12.0,0,0.2361111138015985,0.0,0.2345740044558489,MATCHED,0.0015371093457496043,0.0015371093457496043,0.655276934592689,2026-07-03 17:42:45
district,Andhra Pradesh||Anantapur,Anantapur,,,,Andhra Pradesh,Anantapur,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,0.1666666725650429,0.1666666725650429,3.0,0.5000000176951289,1.0,12.0,0,0.1666666725650429,0.0,0.2345740044558489,MATCHED,-0.067907331890806,0.067907331890806,-28.94921457658255,2026-07-03 23:48:44
district,Jammu and Kashmir||Anantnag (Kashmir South),Anantnag (Kashmir South),,,,Jammu and Kashmir,Anantnag (Kashmir South),20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,4.937499897554517,4.937499897554517,0.5517498635402721,2.7242648947058123,1.0,12.0,0,4.937499897554517,0.0,0.4915497941630227,MATCHED,4.445950103391494,4.445950103391494,904.4760380709249,2026-07-03 12:56:55
district,Jammu and Kashmir||Anantnag (Kashmir South),Anantnag (Kashmir South),,,,Jammu and Kashmir,Anantnag (Kashmir South),20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,2.366071403026581,2.366071403026581,1.151387439627158,2.7242648947058123,1.0,12.0,0,2.366071403026581,0.0,0.4915497941630227,MATCHED,1.8745216088635581,1.8745216088635581,381.3492816237193,2026-07-03 17:42:45
district,Jammu and Kashmir||Anantnag (Kashmir South),Anantnag (Kashmir South),,,,Jammu and Kashmir,Anantnag (Kashmir South),20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,1.9999999776482584,1.9999999776482584,1.3621324625759228,2.7242648947058123,1.0,12.0,0,1.9999999776482584,0.0,0.4915497941630227,MATCHED,1.5084501834852357,1.5084501834852357,306.8763737463712,2026-07-03 23:48:44
district,Andaman and Nicobar||Andaman Islands,Andaman Islands,,,,Andaman and Nicobar,Andaman Islands,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,16.354166388511658,16.354166388511658,,,1.0,12.0,0,16.354166388511658,0.0,,UNAVAILABLE,,,,2026-07-03 12:56:55
